from,to,n
"(3, 0, 2)","(0, 0, 0)",3.6984398559751944e-06
"(0, 1, 0)","(3, 0, 2)",3.9157082452766e-06
"(3, 0, 2)","(0, 1, 0)",3.9157082452766e-06
"(0, 2, 0)","(3, 0, 2)",4.506836705979506e-06
"(3, 0, 2)","(0, 2, 0)",4.506836705979506e-06
"(0, 0, 0)","(1, 1, 1)",4.774507706783341e-10
"(1, 1, 1)","(0, 0, 0)",4.774507706783341e-10
"(0, 1, 0)","(1, 1, 1)",4.88676903091619e-10
"(1, 1, 1)","(0, 1, 0)",4.88676903091619e-10
"(0, 2, 0)","(1, 1, 1)",5.251157626830358e-10
"(1, 1, 1)","(0, 2, 0)",5.251157626830358e-10
"(0, 0, 0)","(2, 1, 1)",4.774507706783341e-10
"(2, 1, 1)","(0, 0, 0)",4.774507706783341e-10
"(0, 1, 0)","(2, 1, 1)",4.886769030916191e-10
"(2, 1, 1)","(0, 1, 0)",4.886769030916191e-10
"(0, 2, 0)","(2, 1, 1)",5.251157626830358e-10
"(2, 1, 1)","(0, 2, 0)",5.251157626830358e-10
"(0, 0, 0)","(3, 1, 1)",4.774507706783341e-10
"(3, 1, 1)","(0, 0, 0)",4.774507706783341e-10
"(0, 1, 0)","(3, 1, 1)",4.88676903091619e-10
"(3, 1, 1)","(0, 1, 0)",4.88676903091619e-10
"(0, 2, 0)","(3, 1, 1)",5.251157626830358e-10
"(3, 1, 1)","(0, 2, 0)",5.251157626830358e-10
"(0, 0, 0)","(1, 1, 2)",8.594113872210017e-10
"(1, 1, 2)","(0, 0, 0)",8.594113872210017e-10
"(0, 1, 0)","(1, 1, 2)",8.796184255649145e-10
"(1, 1, 2)","(0, 1, 0)",8.796184255649145e-10
"(0, 2, 0)","(1, 1, 2)",9.452083728294646e-10
"(1, 1, 2)","(0, 2, 0)",9.452083728294646e-10
"(0, 0, 0)","(2, 1, 2)",8.594113872210018e-10
"(2, 1, 2)","(0, 0, 0)",8.594113872210018e-10
"(0, 1, 0)","(2, 1, 2)",8.796184255649145e-10
"(2, 1, 2)","(0, 1, 0)",8.796184255649145e-10
"(0, 2, 0)","(2, 1, 2)",9.452083728294646e-10
"(2, 1, 2)","(0, 2, 0)",9.452083728294646e-10
"(0, 0, 0)","(3, 1, 2)",8.594113872210016e-10
"(3, 1, 2)","(0, 0, 0)",8.594113872210016e-10
"(0, 1, 0)","(3, 1, 2)",8.796184255649145e-10
"(3, 1, 2)","(0, 1, 0)",8.796184255649145e-10
