from,to,n
"(1, 0, 1)","(3, 1, 1)",2.496560488614835e-06
"(1, 0, 1)","(3, 1, 2)",2.496560488614835e-06
"(1, 0, 2)","(0, 0, 2)",2.5964229081594288e-05
"(1, 0, 2)","(1, 0, 0)",4.194221620872923e-06
"(1, 0, 2)","(1, 0, 1)",1.2782389701707957e-05
"(1, 0, 2)","(1, 0, 2)",0.04611356933552645
"(1, 0, 2)","(1, 1, 2)",5.792020333586418e-06
"(1, 0, 2)","(1, 2, 2)",1.198349034535121e-06
"(1, 0, 2)","(2, 0, 0)",3.5950471036053628e-06
"(1, 0, 2)","(2, 0, 2)",3.6949095231499565e-06
"(1, 0, 2)","(2, 1, 2)",2.396698069070242e-06
"(1, 0, 2)","(2, 2, 2)",1.198349034535121e-06
"(1, 0, 2)","(3, 0, 0)",2.896010166793209e-06
"(1, 0, 2)","(3, 0, 2)",3.295459844971583e-06
"(1, 0, 2)","(3, 1, 2)",2.2968356495256485e-06
"(1, 0, 2)","(3, 2, 2)",1.0984866149905276e-06
"(1, 1, 1)","(0, 0, 1)",7.889131144022879e-06
"(1, 1, 1)","(1, 0, 1)",2.9958725863378025e-06
"(1, 1, 1)","(1, 1, 1)",0.014397664337841756
"(1, 1, 1)","(1, 1, 2)",4.493808879506703e-06
"(1, 1, 1)","(2, 0, 1)",2.7961477472486155e-06
"(1, 1, 1)","(2, 1, 1)",2.1969732299810552e-06
"(1, 1, 1)","(2, 1, 2)",6.990369368121539e-07
"(1, 1, 1)","(3, 0, 1)",3.4951846840607695e-06
"(1, 1, 1)","(3, 1, 1)",1.997248390891868e-06
"(1, 1, 1)","(3, 1, 2)",8.987617759013407e-07
"(1, 1, 2)","(0, 0, 2)",1.4380188414421451e-05
"(1, 1, 2)","(1, 0, 2)",6.391194850853978e-06
"(1, 1, 2)","(1, 1, 1)",4.194221620872923e-06
"(1, 1, 2)","(1, 1, 2)",0.028880411457135505
"(1, 1, 2)","(1, 2, 2)",1.2982114540797144e-06
"(1, 1, 2)","(2, 0, 0)",9.986241954459341e-08
"(1, 1, 2)","(2, 0, 1)",4.09435920132833e-06
"(1, 1, 2)","(2, 0, 2)",2.1969732299810552e-06
"(1, 1, 2)","(2, 1, 1)",1.198349034535121e-06
"(1, 1, 2)","(2, 1, 2)",2.596422908159429e-06
"(1, 1, 2)","(2, 2, 2)",1.5977987127134946e-06
"(1, 1, 2)","(3, 0, 1)",3.4951846840607695e-06
"(1, 1, 2)","(3, 0, 2)",2.496560488614835e-06
"(1, 1, 2)","(3, 1, 1)",1.7975235518026814e-06
"(1, 1, 2)","(3, 1, 2)",3.295459844971583e-06
"(1, 1, 2)","(3, 2, 2)",1.7975235518026814e-06
"(1, 2, 2)","(0, 0, 2)",4.194221620872923e-06
"(1, 2, 2)","(1, 0, 2)",1.0984866149905276e-06
"(1, 2, 2)","(1, 1, 2)",1.5977987127134946e-06
"(1, 2, 2)","(1, 2, 2)",0.00587620435326251
"(1, 2, 2)","(2, 0, 2)",1.697661132258088e-06
"(1, 2, 2)","(2, 1, 2)",1.697661132258088e-06
"(1, 2, 2)","(2, 2, 2)",1.697661132258088e-06
"(1, 2, 2)","(3, 0, 2)",8.987617759013407e-07
"(1, 2, 2)","(3, 1, 2)",8.987617759013407e-07
"(1, 2, 2)","(3, 2, 2)",1.7975235518026814e-06
"(2, 0, 0)","(0, 0, 0)",1.2382940023529583e-05
"(2, 0, 0)","(1, 0, 0)",2.896010166793209e-06
"(2, 0, 0)","(1, 0, 1)",3.4951846840607695e-06
"(2, 0, 0)","(1, 0, 2)",2.496560488614835e-06
"(2, 0, 0)","(2, 0, 0)",0.022194123156527253
"(2, 0, 0)","(2, 0, 1)",2.9958725863378025e-06
"(2, 0, 0)","(2, 0, 2)",3.4951846840607695e-06
"(2, 0, 0)","(3, 0, 0)",3.79477194269455e-06
"(2, 0, 0)","(3, 0, 1)",1.997248390891868e-06
"(2, 0, 0)","(3, 0, 2)",1.3980738736243077e-06
"(2, 0, 1)","(0, 0, 0)",1.4380188414421451e-05
"(2, 0, 1)","(0, 0, 1)",1.1284453408539056e-05
"(2, 0, 1)","(1, 0, 0)",1.4979362931689013e-06
"(2, 0, 1)","(1, 0, 1)",4.593671299051297e-06
"(2, 0, 1)","(1, 1, 1)",3.6949095231499565e-06
"(2, 0, 1)","(1, 1, 2)",3.295459844971583e-06
"(2, 0, 1)","(2, 0, 0)",2.396698069070242e-06
"(2, 0, 1)","(2, 0, 1)",0.041446099708431695
"(2, 0, 1)","(2, 0, 2)",1.0585416471726901e-05
"(2, 0, 1)","(2, 1, 1)",3.6949095231499565e-06
"(2, 0, 1)","(3, 0, 0)",2.1969732299810552e-06
"(2, 0, 1)","(3, 0, 1)",5.991745172675605e-06
"(2, 0, 1)","(3, 1, 1)",3.4951846840607695e-06
"(2, 0, 1)","(3, 1, 2)",1.7975235518026814e-06
"(2, 0, 2)","(0, 0, 0)",1.4180463575332265e-05
"(2, 0, 2)","(0, 0, 2)",1.2382940023529583e-05
"(2, 0, 2)","(1, 0, 0)",1.897385971347275e-06
"(2, 0, 2)","(1, 0, 2)",4.09435920132833e-06
"(2, 0, 2)","(1, 1, 2)",1.997248390891868e-06
"(2, 0, 2)","(1, 2, 2)",1.997248390891868e-06
"(2, 0, 2)","(2, 0, 0)",3.295459844971583e-06
"(2, 0, 2)","(2, 0, 1)",1.1683903086717429e-05
"(2, 0, 2)","(2, 0, 2)",0.041796616801033214
"(2, 0, 2)","(2, 1, 2)",4.693533718595891e-06
"(2, 0, 2)","(2, 2, 2)",1.0984866149905276e-06
"(2, 0, 2)","(3, 0, 0)",2.0971108104364615e-06
"(2, 0, 2)","(3, 0, 2)",3.395322264516176e-06
"(2, 0, 2)","(3, 1, 2)",4.09435920132833e-06
"(2, 0, 2)","(3, 2, 2)",1.198349034535121e-06
"(2, 1, 1)","(0, 0, 1)",6.990369368121539e-06
"(2, 1, 1)","(1, 0, 1)",3.095735005882396e-06
"(2, 1, 1)","(1, 1, 1)",2.2968356495256485e-06
"(2, 1, 1)","(1, 1, 2)",1.997248390891868e-06
"(2, 1, 1)","(2, 0, 1)",3.395322264516176e-06
"(2, 1, 1)","(2, 1, 1)",0.014038459214739852
"(2, 1, 1)","(2, 1, 2)",3.395322264516176e-06
"(2, 1, 1)","(3, 0, 1)",3.5950471036053628e-06
"(2, 1, 1)","(3, 1, 1)",1.897385971347275e-06
"(2, 1, 1)","(3, 1, 2)",9.98624195445934e-07
"(2, 1, 2)","(0, 0, 1)",7.289956626755319e-06
"(2, 1, 2)","(0, 0, 2)",7.5895438853891e-06
"(2, 1, 2)","(1, 0, 1)",2.596422908159429e-06
"(2, 1, 2)","(1, 0, 2)",2.396698069070242e-06
"(2, 1, 2)","(1, 1, 1)",1.897385971347275e-06
"(2, 1, 2)","(1, 1, 2)",3.095735005882396e-06
"(2, 1, 2)","(1, 2, 2)",1.2982114540797144e-06
"(2, 1, 2)","(2, 0, 2)",5.792020333586418e-06
"(2, 1, 2)","(2, 1, 1)",2.896010166793209e-06
"(2, 1, 2)","(2, 1, 2)",0.02469987098774019
"(2, 1, 2)","(2, 2, 2)",1.4979362931689013e-06
"(2, 1, 2)","(3, 0, 1)",2.2968356495256485e-06
"(2, 1, 2)","(3, 0, 2)",3.6949095231499565e-06
"(2, 1, 2)","(3, 1, 1)",8.987617759013407e-07
"(2, 1, 2)","(3, 1, 2)",2.7961477472486155e-06
"(2, 1, 2)","(3, 2, 2)",9.98624195445934e-07
"(2, 2, 2)","(0, 0, 2)",3.095735005882396e-06
"(2, 2, 2)","(1, 0, 2)",8.987617759013407e-07
"(2, 2, 2)","(1, 1, 2)",1.697661132258088e-06
"(2, 2, 2)","(1, 2, 2)",1.5977987127134946e-06
"(2, 2, 2)","(2, 0, 2)",1.4979362931689013e-06
"(2, 2, 2)","(2, 1, 2)",2.1969732299810552e-06
"(2, 2, 2)","(2, 2, 2)",0.005465869671353776
"(2, 2, 2)","(3, 0, 2)",1.0984866149905276e-06
"(2, 2, 2)","(3, 1, 2)",1.3980738736243077e-06
"(2, 2, 2)","(3, 2, 2)",5.991745172675605e-07
"(3, 0, 0)","(0, 0, 0)",1.4579913253510639e-05
"(3, 0, 0)","(1, 0, 0)",3.195597425426989e-06
"(3, 0, 0)","(1, 0, 1)",3.095735005882396e-06
"(3, 0, 0)","(1, 0, 2)",2.9958725863378025e-06
"(3, 0, 0)","(2, 0, 0)",3.994496781783736e-06
"(3, 0, 0)","(2, 0, 1)",1.5977987127134946e-06
"(3, 0, 0)","(2, 0, 2)",1.2982114540797144e-06
"(3, 0, 0)","(3, 0, 0)",0.021833819546810358
"(3, 0, 0)","(3, 0, 1)",2.2968356495256485e-06
"(3, 0, 0)","(3, 0, 2)",2.2968356495256485e-06
"(3, 0, 1)","(0, 0, 0)",9.786517115370155e-06
"(3, 0, 1)","(0, 0, 1)",1.1883627925806616e-05
"(3, 0, 1)","(1, 0, 0)",1.5977987127134946e-06
"(3, 0, 1)","(1, 0, 1)",4.693533718595891e-06
"(3, 0, 1)","(1, 1, 1)",3.4951846840607695e-06
"(3, 0, 1)","(1, 1, 2)",2.9958725863378025e-06
"(3, 0, 1)","(2, 0, 0)",1.4979362931689013e-06
"(3, 0, 1)","(2, 0, 1)",6.590919689943166e-06
"(3, 0, 1)","(2, 1, 1)",3.79477194269455e-06
"(3, 0, 1)","(2, 1, 2)",3.6949095231499565e-06
"(3, 0, 1)","(3, 0, 0)",2.496560488614835e-06
"(3, 0, 1)","(3, 0, 1)",0.04107620930643852
"(3, 0, 1)","(3, 0, 2)",1.228307760398499e-05
"(3, 0, 1)","(3, 1, 1)",3.395322264516176e-06
"(3, 0, 2)","(0, 0, 0)",1.1084728569449868e-05
"(3, 0, 2)","(0, 0, 1)",9.986241954459341e-08
"(3, 0, 2)","(0, 0, 2)",1.1184590988994462e-05
"(3, 0, 2)","(1, 0, 0)",2.396698069070242e-06
"(3, 0, 2)","(1, 0, 2)",3.195597425426989e-06
"(3, 0, 2)","(1, 1, 2)",2.496560488614835e-06
"(3, 0, 2)","(1, 2, 2)",8.987617759013407e-07
"(3, 0, 2)","(2, 0, 0)",1.997248390891868e-06
"(3, 0, 2)","(2, 0, 2)",5.392570655408044e-06
"(3, 0, 2)","(2, 1, 2)",2.9958725863378025e-06
"(3, 0, 2)","(2, 2, 2)",4.99312097722967e-07
"(3, 0, 2)","(3, 0, 0)",2.696285327704022e-06
"(3, 0, 2)","(3, 0, 1)",1.2083352764895804e-05
"(3, 0, 2)","(3, 0, 2)",0.040563315919657485
"(3, 0, 2)","(3, 1, 2)",6.391194850853978e-06
"(3, 0, 2)","(3, 2, 2)",1.0984866149905276e-06
"(3, 1, 1)","(0, 0, 1)",7.5895438853891e-06
"(3, 1, 1)","(1, 0, 1)",2.896010166793209e-06
"(3, 1, 1)","(1, 1, 1)",1.897385971347275e-06
"(3, 1, 1)","(1, 1, 2)",1.5977987127134946e-06
"(3, 1, 1)","(2, 0, 1)",2.896010166793209e-06
"(3, 1, 1)","(2, 1, 1)",1.7975235518026814e-06
"(3, 1, 1)","(2, 1, 2)",1.5977987127134946e-06
"(3, 1, 1)","(3, 0, 1)",3.195597425426989e-06
"(3, 1, 1)","(3, 1, 1)",0.012474913311930154
"(3, 1, 1)","(3, 1, 2)",2.696285327704022e-06
"(3, 1, 2)","(0, 0, 1)",7.489681465844506e-06
"(3, 1, 2)","(0, 0, 2)",7.289956626755319e-06
"(3, 1, 2)","(1, 0, 1)",2.2968356495256485e-06
"(3, 1, 2)","(1, 0, 2)",2.2968356495256485e-06
"(3, 1, 2)","(1, 1, 1)",8.987617759013407e-07
"(3, 1, 2)","(1, 1, 2)",2.0971108104364615e-06
"(3, 1, 2)","(1, 2, 2)",1.5977987127134946e-06
"(3, 1, 2)","(2, 0, 1)",2.896010166793209e-06
"(3, 1, 2)","(2, 0, 2)",3.6949095231499565e-06
"(3, 1, 2)","(2, 1, 1)",1.7975235518026814e-06
"(3, 1, 2)","(2, 1, 2)",3.295459844971583e-06
"(3, 1, 2)","(2, 2, 2)",1.697661132258088e-06
"(3, 1, 2)","(3, 0, 2)",6.191470011764792e-06
"(3, 1, 2)","(3, 1, 1)",2.1969732299810552e-06
"(3, 1, 2)","(3, 1, 2)",0.023561439404931824
"(3, 1, 2)","(3, 2, 2)",1.198349034535121e-06
"(3, 2, 2)","(0, 0, 2)",3.295459844971583e-06
"(3, 2, 2)","(1, 0, 2)",9.98624195445934e-07
"(3, 2, 2)","(1, 1, 2)",1.0984866149905276e-06
"(3, 2, 2)","(1, 2, 2)",1.3980738736243077e-06
"(3, 2, 2)","(2, 0, 2)",1.0984866149905276e-06
"(3, 2, 2)","(2, 1, 2)",8.987617759013407e-07
"(3, 2, 2)","(2, 2, 2)",1.3980738736243077e-06
"(3, 2, 2)","(3, 0, 2)",1.198349034535121e-06
"(3, 2, 2)","(3, 1, 2)",1.198349034535121e-06
"(3, 2, 2)","(3, 2, 2)",0.005164484889168193
