from,to,n
"(0, 1, 0)","(0, 0, 0)",1.088523744098254e-05
"(0, 1, 0)","(0, 1, 0)",0.05973269052510985
"(0, 1, 0)","(0, 1, 1)",1.3881174351344707e-05
"(0, 1, 0)","(0, 1, 2)",1.3281986969272273e-05
"(0, 1, 0)","(0, 2, 0)",1.1484424823054973e-05
"(0, 1, 0)","(0, 2, 1)",9.98645636787389e-08
"(0, 1, 0)","(1, 0, 0)",4.294176238185773e-06
"(0, 1, 0)","(2, 0, 0)",5.991873820724334e-06
"(0, 1, 0)","(2, 0, 1)",2.6963432193259502e-06
"(0, 1, 0)","(2, 0, 2)",3.694988856113339e-06
"(0, 1, 0)","(3, 0, 0)",3.495259728755861e-06
"(0, 1, 0)","(3, 0, 1)",2.4966140919684724e-06
"(0, 1, 0)","(3, 0, 2)",3.2955306013983837e-06
"(0, 1, 1)","(0, 0, 1)",1.1883883077769929e-05
"(0, 1, 1)","(0, 0, 2)",1.997291273574778e-07
"(0, 1, 1)","(0, 1, 0)",1.2483070459842361e-05
"(0, 1, 1)","(0, 1, 1)",0.062318483672443435
"(0, 1, 1)","(0, 1, 2)",1.1983747641448668e-05
"(0, 1, 1)","(0, 2, 1)",1.2183476768806145e-05
"(0, 1, 1)","(0, 2, 2)",9.98645636787389e-08
"(0, 1, 1)","(1, 0, 1)",6.39133207543929e-06
"(0, 1, 1)","(1, 1, 1)",3.095801474040906e-06
"(0, 1, 1)","(2, 0, 1)",3.894717983470817e-06
"(0, 1, 1)","(2, 1, 1)",1.4979684551810835e-06
"(0, 1, 1)","(2, 1, 2)",1.997291273574778e-06
"(0, 1, 1)","(3, 0, 1)",3.694988856113339e-06
"(0, 1, 1)","(3, 1, 1)",1.897426709896039e-06
"(0, 1, 1)","(3, 1, 2)",1.997291273574778e-06
"(0, 1, 2)","(0, 0, 2)",1.1284695695697494e-05
"(0, 1, 2)","(0, 1, 0)",1.2882528714557317e-05
"(0, 1, 2)","(0, 1, 1)",1.25829350235211e-05
"(0, 1, 2)","(0, 1, 2)",0.0657723994718363
"(0, 1, 2)","(0, 2, 2)",1.3281986969272273e-05
"(0, 1, 2)","(1, 0, 2)",8.488487912692806e-06
"(0, 1, 2)","(1, 1, 2)",6.491196639118028e-06
"(0, 1, 2)","(1, 2, 2)",1.3981038915023446e-06
"(0, 1, 2)","(2, 0, 2)",4.693634492900728e-06
"(0, 1, 2)","(2, 1, 2)",2.3967495282897335e-06
"(0, 1, 2)","(2, 2, 2)",1.2982393278236057e-06
"(0, 1, 2)","(3, 0, 2)",4.294176238185773e-06
"(0, 1, 2)","(3, 1, 2)",2.995936910362167e-06
"(0, 1, 2)","(3, 2, 2)",1.2982393278236057e-06
"(0, 2, 0)","(0, 0, 0)",1.178401851409119e-05
"(0, 2, 0)","(0, 1, 0)",1.2183476768806145e-05
"(0, 2, 0)","(0, 2, 0)",0.06071096379090677
"(0, 2, 0)","(0, 2, 1)",1.2183476768806145e-05
"(0, 2, 0)","(0, 2, 2)",1.178401851409119e-05
"(0, 2, 0)","(1, 0, 0)",4.1943116745070335e-06
"(0, 2, 0)","(2, 0, 0)",5.292821874973161e-06
"(0, 2, 0)","(2, 0, 1)",4.8933636202582055e-06
"(0, 2, 0)","(2, 0, 2)",3.894717983470817e-06
"(0, 2, 0)","(3, 0, 0)",4.294176238185773e-06
"(0, 2, 0)","(3, 0, 1)",4.49390536554325e-06
"(0, 2, 0)","(3, 0, 2)",4.294176238185773e-06
"(0, 2, 1)","(0, 0, 1)",1.088523744098254e-05
"(0, 2, 1)","(0, 1, 1)",1.1284695695697494e-05
"(0, 2, 1)","(0, 2, 0)",1.1584289386733712e-05
"(0, 2, 1)","(0, 2, 1)",0.06074801354403159
"(0, 2, 1)","(0, 2, 2)",1.3182122405593535e-05
"(0, 2, 1)","(1, 0, 1)",8.588352476371546e-06
"(0, 2, 1)","(1, 1, 1)",3.2955306013983837e-06
"(0, 2, 1)","(2, 0, 1)",3.195666037719645e-06
"(0, 2, 1)","(2, 1, 1)",3.195666037719645e-06
"(0, 2, 1)","(2, 1, 2)",3.095801474040906e-06
"(0, 2, 1)","(3, 0, 1)",3.894717983470817e-06
"(0, 2, 1)","(3, 1, 1)",2.2968849646109946e-06
"(0, 2, 1)","(3, 1, 2)",2.3967495282897335e-06
"(0, 2, 2)","(0, 0, 2)",1.25829350235211e-05
"(0, 2, 2)","(0, 1, 2)",1.25829350235211e-05
"(0, 2, 2)","(0, 2, 0)",1.1384560259376234e-05
"(0, 2, 2)","(0, 2, 1)",1.2882528714557317e-05
"(0, 2, 2)","(0, 2, 2)",0.06507604386930445
"(0, 2, 2)","(1, 0, 2)",8.688217040050283e-06
"(0, 2, 2)","(1, 1, 2)",6.29146751176055e-06
"(0, 2, 2)","(1, 2, 2)",7.989165094299112e-07
"(0, 2, 2)","(2, 0, 2)",4.094447110828295e-06
"(0, 2, 2)","(2, 1, 2)",3.994582547149556e-06
"(0, 2, 2)","(2, 2, 2)",5.991873820724334e-07
"(0, 2, 2)","(3, 0, 2)",4.1943116745070335e-06
"(0, 2, 2)","(3, 1, 2)",2.995936910362167e-06
"(0, 2, 2)","(3, 2, 2)",1.2982393278236057e-06
"(1, 0, 0)","(0, 0, 0)",4.294176238185773e-06
"(1, 0, 0)","(0, 1, 0)",4.793499056579467e-06
"(1, 0, 0)","(0, 2, 0)",4.693634492900728e-06
"(1, 0, 0)","(1, 0, 0)",0.023569135538382847
"(1, 0, 0)","(1, 0, 1)",2.3967495282897335e-06
"(1, 0, 0)","(1, 0, 2)",4.094447110828295e-06
"(1, 0, 0)","(2, 0, 0)",2.1970204009322557e-06
"(1, 0, 0)","(2, 0, 1)",1.1983747641448667e-06
"(1, 0, 0)","(2, 0, 2)",2.0971558372535168e-06
"(1, 0, 0)","(3, 0, 0)",2.6963432193259502e-06
"(1, 0, 0)","(3, 0, 1)",1.0985102004661278e-06
"(1, 0, 0)","(3, 0, 2)",2.2968849646109946e-06
"(1, 0, 1)","(0, 0, 1)",8.08902965797785e-06
"(1, 0, 1)","(0, 1, 1)",6.990519457511722e-06
"(1, 0, 1)","(0, 2, 1)",8.588352476371546e-06
"(1, 0, 1)","(1, 0, 0)",2.1970204009322557e-06
"(1, 0, 1)","(1, 0, 1)",0.037225015434068316
"(1, 0, 1)","(1, 0, 2)",5.592415566009378e-06
"(1, 0, 1)","(1, 1, 1)",1.997291273574778e-06
"(1, 0, 1)","(2, 0, 0)",2.4966140919684724e-06
"(1, 0, 1)","(2, 0, 1)",2.995936910362167e-06
"(1, 0, 1)","(2, 1, 1)",2.0971558372535168e-06
"(1, 0, 1)","(2, 1, 2)",1.5978330188598224e-06
"(1, 0, 1)","(3, 0, 0)",2.0971558372535168e-06
"(1, 0, 1)","(3, 0, 1)",3.095801474040906e-06
"(1, 0, 1)","(3, 1, 1)",1.5978330188598224e-06
"(1, 0, 1)","(3, 1, 2)",2.1970204009322557e-06
"(1, 0, 2)","(0, 0, 2)",6.690925766475506e-06
"(1, 0, 2)","(0, 1, 2)",8.488487912692806e-06
"(1, 0, 2)","(0, 2, 2)",8.788081603729023e-06
"(1, 0, 2)","(1, 0, 0)",3.495259728755861e-06
"(1, 0, 2)","(1, 0, 1)",5.492551002330639e-06
"(1, 0, 2)","(1, 0, 2)",0.03913133009013176
"(1, 0, 2)","(1, 1, 2)",4.593769929221989e-06
"(1, 0, 2)","(1, 2, 2)",9.98645636787389e-07
"(1, 0, 2)","(2, 0, 0)",2.6963432193259502e-06
"(1, 0, 2)","(2, 0, 2)",4.1943116745070335e-06
"(1, 0, 2)","(2, 1, 2)",1.2982393278236057e-06
"(1, 0, 2)","(2, 2, 2)",6.990519457511723e-07
"(1, 0, 2)","(3, 0, 0)",2.5964786556472113e-06
"(1, 0, 2)","(3, 0, 2)",2.2968849646109946e-06
"(1, 0, 2)","(3, 1, 2)",2.0971558372535168e-06
"(1, 0, 2)","(3, 2, 2)",5.991873820724334e-07
"(1, 1, 1)","(0, 0, 1)",2.4966140919684724e-06
"(1, 1, 1)","(0, 1, 1)",2.0971558372535168e-06
"(1, 1, 1)","(0, 2, 1)",3.195666037719645e-06
"(1, 1, 1)","(1, 0, 1)",2.1970204009322557e-06
"(1, 1, 1)","(1, 1, 1)",0.013650587073810498
"(1, 1, 1)","(1, 1, 2)",1.7975621462173e-06
"(1, 1, 1)","(2, 0, 1)",3.994582547149556e-06
"(1, 1, 1)","(2, 1, 1)",1.0985102004661278e-06
"(1, 1, 1)","(2, 1, 2)",6.990519457511723e-07
"(1, 1, 1)","(3, 0, 1)",2.995936910362167e-06
"(1, 1, 1)","(3, 1, 1)",1.5978330188598224e-06
"(1, 1, 1)","(3, 1, 2)",5.991873820724334e-07
"(1, 1, 2)","(0, 0, 2)",5.192957311294423e-06
"(1, 1, 2)","(0, 1, 2)",6.191602948081812e-06
"(1, 1, 2)","(0, 2, 2)",6.0917383844030724e-06
"(1, 1, 2)","(1, 0, 2)",4.49390536554325e-06
"(1, 1, 2)","(1, 1, 1)",1.5978330188598224e-06
"(1, 1, 2)","(1, 1, 2)",0.026504654387719376
"(1, 1, 2)","(1, 2, 2)",5.991873820724334e-07
"(1, 1, 2)","(2, 0, 1)",2.5964786556472113e-06
"(1, 1, 2)","(2, 0, 2)",2.5964786556472113e-06
"(1, 1, 2)","(2, 1, 1)",7.989165094299112e-07
"(1, 1, 2)","(2, 1, 2)",9.98645636787389e-07
"(1, 1, 2)","(2, 2, 2)",6.990519457511723e-07
"(1, 1, 2)","(3, 0, 1)",3.095801474040906e-06
"(1, 1, 2)","(3, 0, 2)",2.0971558372535168e-06
"(1, 1, 2)","(3, 1, 1)",7.989165094299112e-07
"(1, 1, 2)","(3, 1, 2)",2.0971558372535168e-06
"(1, 1, 2)","(3, 2, 2)",7.989165094299112e-07
"(1, 2, 2)","(0, 0, 1)",9.98645636787389e-08
"(1, 2, 2)","(0, 0, 2)",4.993228183936945e-07
"(1, 2, 2)","(0, 1, 2)",9.98645636787389e-07
"(1, 2, 2)","(0, 2, 2)",8.9878107310865e-07
"(1, 2, 2)","(1, 0, 2)",1.4979684551810835e-06
"(1, 2, 2)","(1, 1, 2)",5.991873820724334e-07
"(1, 2, 2)","(1, 2, 2)",0.005120855096318373
"(1, 2, 2)","(2, 0, 2)",6.990519457511723e-07
"(1, 2, 2)","(2, 1, 2)",7.989165094299112e-07
"(1, 2, 2)","(2, 2, 2)",5.991873820724334e-07
"(1, 2, 2)","(3, 0, 2)",1.3981038915023446e-06
"(1, 2, 2)","(3, 1, 2)",7.989165094299112e-07
"(1, 2, 2)","(3, 2, 2)",5.991873820724334e-07
"(2, 0, 0)","(0, 0, 0)",4.49390536554325e-06
"(2, 0, 0)","(0, 1, 0)",5.192957311294423e-06
"(2, 0, 0)","(0, 2, 0)",5.292821874973161e-06
"(2, 0, 0)","(1, 0, 0)",2.896072346683428e-06
"(2, 0, 0)","(1, 0, 1)",2.5964786556472113e-06
"(2, 0, 0)","(1, 0, 2)",2.2968849646109946e-06
"(2, 0, 0)","(2, 0, 0)",0.020488813071712145
"(2, 0, 0)","(2, 0, 1)",1.5978330188598224e-06
"(2, 0, 0)","(2, 0, 2)",3.095801474040906e-06
"(2, 0, 0)","(3, 0, 0)",3.095801474040906e-06
"(2, 0, 0)","(3, 0, 1)",1.897426709896039e-06
"(2, 0, 0)","(3, 0, 2)",1.5978330188598224e-06
"(2, 0, 1)","(0, 0, 0)",4.294176238185773e-06
"(2, 0, 1)","(0, 0, 1)",3.495259728755861e-06
"(2, 0, 1)","(0, 1, 0)",3.395395165077122e-06
"(2, 0, 1)","(0, 1, 1)",2.995936910362167e-06
"(2, 0, 1)","(0, 2, 0)",4.294176238185773e-06
"(2, 0, 1)","(0, 2, 1)",3.5951242924346e-06
"(2, 0, 1)","(1, 0, 0)",1.897426709896039e-06
"(2, 0, 1)","(1, 0, 1)",3.195666037719645e-06
"(2, 0, 1)","(1, 1, 1)",3.2955306013983837e-06
"(2, 0, 1)","(1, 1, 2)",2.6963432193259502e-06
"(2, 0, 1)","(2, 0, 0)",2.0971558372535168e-06
"(2, 0, 1)","(2, 0, 1)",0.03914930571159394
"(2, 0, 1)","(2, 0, 2)",4.094447110828295e-06
"(2, 0, 1)","(2, 1, 1)",2.1970204009322557e-06
"(2, 0, 1)","(3, 0, 0)",1.0985102004661278e-06
"(2, 0, 1)","(3, 0, 1)",4.993228183936945e-06
"(2, 0, 1)","(3, 1, 1)",3.2955306013983837e-06
"(2, 0, 1)","(3, 1, 2)",1.897426709896039e-06
"(2, 0, 2)","(0, 0, 0)",4.294176238185773e-06
"(2, 0, 2)","(0, 0, 2)",4.8933636202582055e-06
"(2, 0, 2)","(0, 1, 0)",3.5951242924346e-06
"(2, 0, 2)","(0, 1, 2)",4.1943116745070335e-06
"(2, 0, 2)","(0, 2, 0)",3.894717983470817e-06
"(2, 0, 2)","(0, 2, 2)",4.993228183936945e-06
"(2, 0, 2)","(1, 0, 0)",2.3967495282897335e-06
"(2, 0, 2)","(1, 0, 2)",2.2968849646109946e-06
"(2, 0, 2)","(1, 1, 2)",1.5978330188598224e-06
"(2, 0, 2)","(1, 2, 2)",9.98645636787389e-07
"(2, 0, 2)","(2, 0, 0)",1.897426709896039e-06
"(2, 0, 2)","(2, 0, 1)",4.394040801864511e-06
"(2, 0, 2)","(2, 0, 2)",0.04123317956187818
"(2, 0, 2)","(2, 1, 2)",5.991873820724334e-06
"(2, 0, 2)","(2, 2, 2)",1.0985102004661278e-06
"(2, 0, 2)","(3, 0, 0)",1.2982393278236057e-06
"(2, 0, 2)","(3, 0, 2)",5.892009257045595e-06
"(2, 0, 2)","(3, 1, 2)",3.794853419792078e-06
"(2, 0, 2)","(3, 2, 2)",9.98645636787389e-07
"(2, 1, 1)","(0, 0, 1)",1.7975621462173e-06
"(2, 1, 1)","(0, 1, 1)",2.6963432193259502e-06
"(2, 1, 1)","(0, 2, 1)",2.3967495282897335e-06
"(2, 1, 1)","(1, 0, 1)",1.4979684551810835e-06
"(2, 1, 1)","(1, 1, 1)",1.4979684551810835e-06
"(2, 1, 1)","(1, 1, 2)",7.989165094299112e-07
"(2, 1, 1)","(2, 0, 1)",1.4979684551810835e-06
"(2, 1, 1)","(2, 1, 1)",0.012328380250703996
"(2, 1, 1)","(2, 1, 2)",1.1983747641448667e-06
"(2, 1, 1)","(3, 0, 1)",3.395395165077122e-06
"(2, 1, 1)","(3, 1, 1)",1.0985102004661278e-06
"(2, 1, 1)","(3, 1, 2)",4.993228183936945e-07
"(2, 1, 2)","(0, 0, 1)",2.0971558372535168e-06
"(2, 1, 2)","(0, 0, 2)",2.4966140919684724e-06
"(2, 1, 2)","(0, 1, 1)",1.697697582538561e-06
"(2, 1, 2)","(0, 1, 2)",2.896072346683428e-06
"(2, 1, 2)","(0, 2, 1)",2.796207783004689e-06
"(2, 1, 2)","(0, 2, 2)",3.095801474040906e-06
"(2, 1, 2)","(1, 0, 1)",1.7975621462173e-06
"(2, 1, 2)","(1, 0, 2)",2.4966140919684724e-06
"(2, 1, 2)","(1, 1, 1)",8.9878107310865e-07
"(2, 1, 2)","(1, 1, 2)",1.2982393278236057e-06
"(2, 1, 2)","(1, 2, 2)",4.993228183936945e-07
"(2, 1, 2)","(2, 0, 0)",9.98645636787389e-08
"(2, 1, 2)","(2, 0, 2)",5.292821874973161e-06
"(2, 1, 2)","(2, 1, 1)",1.4979684551810835e-06
"(2, 1, 2)","(2, 1, 2)",0.024437657648696837
"(2, 1, 2)","(2, 2, 2)",5.991873820724334e-07
"(2, 1, 2)","(3, 0, 1)",1.997291273574778e-06
"(2, 1, 2)","(3, 0, 2)",3.395395165077122e-06
"(2, 1, 2)","(3, 1, 1)",8.9878107310865e-07
"(2, 1, 2)","(3, 1, 2)",2.3967495282897335e-06
"(2, 1, 2)","(3, 2, 2)",3.994582547149556e-07
"(2, 2, 2)","(0, 0, 2)",1.3981038915023446e-06
"(2, 2, 2)","(0, 1, 2)",9.98645636787389e-07
"(2, 2, 2)","(0, 2, 2)",3.994582547149556e-07
"(2, 2, 2)","(1, 0, 2)",1.0985102004661278e-06
"(2, 2, 2)","(1, 1, 2)",9.98645636787389e-07
"(2, 2, 2)","(1, 2, 2)",5.991873820724334e-07
"(2, 2, 2)","(2, 0, 2)",5.991873820724334e-07
"(2, 2, 2)","(2, 1, 2)",8.9878107310865e-07
"(2, 2, 2)","(2, 2, 2)",0.005285531761824613
"(2, 2, 2)","(3, 0, 2)",9.98645636787389e-07
"(2, 2, 2)","(3, 1, 2)",5.991873820724334e-07
"(2, 2, 2)","(3, 2, 2)",5.991873820724334e-07
"(3, 0, 0)","(0, 0, 0)",4.793499056579467e-06
"(3, 0, 0)","(0, 1, 0)",3.2955306013983837e-06
"(3, 0, 0)","(0, 2, 0)",4.8933636202582055e-06
"(3, 0, 0)","(1, 0, 0)",2.3967495282897335e-06
"(3, 0, 0)","(1, 0, 1)",1.997291273574778e-06
"(3, 0, 0)","(1, 0, 2)",1.3981038915023446e-06
"(3, 0, 0)","(2, 0, 0)",3.495259728755861e-06
"(3, 0, 0)","(2, 0, 1)",2.3967495282897335e-06
"(3, 0, 0)","(2, 0, 2)",1.2982393278236057e-06
"(3, 0, 0)","(3, 0, 0)",0.02023825288144219
"(3, 0, 0)","(3, 0, 1)",2.0971558372535168e-06
"(3, 0, 0)","(3, 0, 2)",1.7975621462173e-06
"(3, 0, 1)","(0, 0, 0)",4.593769929221989e-06
"(3, 0, 1)","(0, 0, 1)",2.796207783004689e-06
"(3, 0, 1)","(0, 1, 0)",4.49390536554325e-06
"(3, 0, 1)","(0, 1, 1)",4.394040801864511e-06
"(3, 0, 1)","(0, 2, 0)",3.994582547149556e-06
"(3, 0, 1)","(0, 2, 1)",3.994582547149556e-06
"(3, 0, 1)","(1, 0, 0)",1.3981038915023446e-06
"(3, 0, 1)","(1, 0, 1)",2.995936910362167e-06
"(3, 0, 1)","(1, 1, 1)",2.896072346683428e-06
"(3, 0, 1)","(1, 1, 2)",2.896072346683428e-06
"(3, 0, 1)","(2, 0, 0)",1.697697582538561e-06
"(3, 0, 1)","(2, 0, 1)",5.292821874973161e-06
"(3, 0, 1)","(2, 1, 1)",2.4966140919684724e-06
"(3, 0, 1)","(2, 1, 2)",2.2968849646109946e-06
"(3, 0, 1)","(3, 0, 0)",1.897426709896039e-06
"(3, 0, 1)","(3, 0, 1)",0.043983050187335934
"(3, 0, 1)","(3, 0, 2)",5.692280129688117e-06
"(3, 0, 1)","(3, 1, 1)",2.995936910362167e-06
"(3, 0, 2)","(0, 0, 0)",3.694988856113339e-06
"(3, 0, 2)","(0, 0, 2)",4.094447110828295e-06
"(3, 0, 2)","(0, 1, 0)",2.3967495282897335e-06
"(3, 0, 2)","(0, 1, 2)",3.894717983470817e-06
"(3, 0, 2)","(0, 2, 0)",5.492551002330639e-06
"(3, 0, 2)","(0, 2, 2)",5.292821874973161e-06
"(3, 0, 2)","(1, 0, 0)",2.0971558372535168e-06
"(3, 0, 2)","(1, 0, 2)",1.897426709896039e-06
"(3, 0, 2)","(1, 1, 2)",1.4979684551810835e-06
"(3, 0, 2)","(1, 2, 2)",1.3981038915023446e-06
"(3, 0, 2)","(2, 0, 0)",1.897426709896039e-06
"(3, 0, 2)","(2, 0, 2)",5.792144693366856e-06
"(3, 0, 2)","(2, 1, 2)",3.694988856113339e-06
"(3, 0, 2)","(2, 2, 2)",1.0985102004661278e-06
"(3, 0, 2)","(3, 0, 0)",2.6963432193259502e-06
"(3, 0, 2)","(3, 0, 1)",6.0917383844030724e-06
"(3, 0, 2)","(3, 0, 2)",0.042066050022958865
"(3, 0, 2)","(3, 1, 2)",4.8933636202582055e-06
"(3, 0, 2)","(3, 2, 2)",8.9878107310865e-07
"(3, 1, 1)","(0, 0, 1)",2.1970204009322557e-06
"(3, 1, 1)","(0, 1, 1)",2.4966140919684724e-06
"(3, 1, 1)","(0, 2, 1)",1.7975621462173e-06
"(3, 1, 1)","(1, 0, 1)",1.697697582538561e-06
"(3, 1, 1)","(1, 1, 1)",4.993228183936945e-07
"(3, 1, 1)","(1, 1, 2)",1.4979684551810835e-06
"(3, 1, 1)","(2, 0, 1)",3.994582547149556e-06
"(3, 1, 1)","(2, 1, 1)",7.989165094299112e-07
"(3, 1, 1)","(2, 1, 2)",7.989165094299112e-07
"(3, 1, 1)","(3, 0, 1)",3.095801474040906e-06
"(3, 1, 1)","(3, 1, 1)",0.013281188052762844
"(3, 1, 1)","(3, 1, 2)",1.2982393278236057e-06
"(3, 1, 2)","(0, 0, 1)",1.997291273574778e-06
"(3, 1, 2)","(0, 0, 2)",3.195666037719645e-06
"(3, 1, 2)","(0, 1, 1)",2.2968849646109946e-06
"(3, 1, 2)","(0, 1, 2)",3.195666037719645e-06
"(3, 1, 2)","(0, 2, 1)",3.395395165077122e-06
"(3, 1, 2)","(0, 2, 2)",2.4966140919684724e-06
"(3, 1, 2)","(1, 0, 1)",1.997291273574778e-06
"(3, 1, 2)","(1, 0, 2)",1.697697582538561e-06
"(3, 1, 2)","(1, 1, 1)",1.0985102004661278e-06
"(3, 1, 2)","(1, 1, 2)",2.5964786556472113e-06
"(3, 1, 2)","(1, 2, 2)",7.989165094299112e-07
"(3, 1, 2)","(2, 0, 1)",1.5978330188598224e-06
"(3, 1, 2)","(2, 0, 2)",2.6963432193259502e-06
"(3, 1, 2)","(2, 1, 1)",5.991873820724334e-07
"(3, 1, 2)","(2, 1, 2)",1.997291273574778e-06
"(3, 1, 2)","(2, 2, 2)",4.993228183936945e-07
"(3, 1, 2)","(3, 0, 2)",4.693634492900728e-06
"(3, 1, 2)","(3, 1, 1)",2.0971558372535168e-06
"(3, 1, 2)","(3, 1, 2)",0.025280115107890678
"(3, 1, 2)","(3, 2, 2)",1.0985102004661278e-06
"(3, 2, 2)","(0, 0, 2)",8.9878107310865e-07
"(3, 2, 2)","(0, 1, 2)",7.989165094299112e-07
"(3, 2, 2)","(0, 2, 2)",6.990519457511723e-07
"(3, 2, 2)","(1, 0, 2)",6.990519457511723e-07
"(3, 2, 2)","(1, 1, 2)",5.991873820724334e-07
"(3, 2, 2)","(1, 2, 2)",2.995936910362167e-07
"(3, 2, 2)","(2, 0, 2)",1.1983747641448667e-06
"(3, 2, 2)","(2, 1, 2)",5.991873820724334e-07
"(3, 2, 2)","(2, 2, 2)",5.991873820724334e-07
"(3, 2, 2)","(3, 0, 2)",1.4979684551810835e-06
"(3, 2, 2)","(3, 1, 2)",1.3981038915023446e-06
"(3, 2, 2)","(3, 2, 2)",0.0054308347019771785
